Raman Shift,sample_1.txt,sample_10.txt,sample_11.txt,sample_12.txt,sample_13.txt,sample_14.txt,sample_15.txt,sample_16.txt,sample_17.txt,sample_18.txt,sample_19.txt,sample_2.txt,sample_20.txt,sample_21.txt,sample_22.txt,sample_23.txt,sample_24.txt,sample_25.txt,sample_26.txt,sample_27.txt,sample_28.txt,sample_29.txt,sample_3.txt,sample_30.txt,sample_31.txt,sample_32.txt,sample_33.txt,sample_34.txt,sample_35.txt,sample_36.txt,sample_37.txt,sample_38.txt,sample_4.txt,sample_5.txt,sample_6.txt,sample_7.txt,sample_8.txt,sample_9.txt
250.57,1961,6438.3333,11977.3333,6237.3333,8376,7204.3333,7567.6667,8075.6666,8431,7851.3333,4813.6666,3897,5040,8308.6666,6418.6666,7769,8668,9291,8957,10511.6667,9372.6667,10683.3334,5713.6667,8049.6667,7686,9362.3334,8119.3334,9491.3334,11105.3334,13401.3334,16145,6142.3334,941.6666,189,6845,6812.6667,10368,9353.6667
252.92,1955.3333,6475.3333,11989.6667,6169.6667,8336.3333,7148,7520.6667,8031.6667,8496.6667,7924.6667,4788,3813.6667,5012.3334,8195,6421,7790,8678.3333,9273,8950.6666,10467,9404.6666,10678.6666,5658.3333,7956,7633.3333,9322,8255,9471.3333,11035,13476,16092.3333,6135.6666,955.3333,244,6835.3333,6751.3333,10397,9386.6667
255.27,1989.3333,6499.6667,12004.3334,6223.3334,8347,7188.3334,7414,7997.3333,8402.6666,7912.6666,4816.6666,3814.6666,4968.6666,8259.6666,6396.3333,7835.6666,8669.6666,9257.6666,8987.3333,10484,9415,10851.3333,5601,8044.3333,7683.3333,9331.3333,8255,9532.6666,11019,13467.3333,16156.6666,6132.6666,909.3333,227,6873.6667,6740.6667,10402.6667,9371.3334
257.62,1950.6667,6380.6667,11959.3334,6171.3334,8263.6667,7221.6667,7467,7994,8398.6667,7903.3334,4735.6667,3805.6666,4942.6667,8207.3334,6323,7733.6667,8574,9259.6666,8959.6666,10483.6666,9341,10778,5654.6666,7999.6666,7677.3333,9376.3333,8152,9480.6666,10928.3333,13413.3333,16194,6063.6666,918.6667,211.3333,6849.3334,6719,10413,9294
259.97,1946.3333,6434.3333,12005,6205,8292.3333,7103,7503,7976.3333,8447.6667,7871.6667,4839.3333,3760,5013,8166.6667,6314,7744.3333,8641.3333,9275,8884.6667,10520.3333,9296,10773.3333,5589,8064.6667,7636,9286,8228,9485,11014.6667,13390.6667,16138.3333,6044.6667,930.3334,237.6666,6815,6772.6666,10337.3333,9305.3333
262.32,1914.6667,6396.3334,12015,6136,8254,7213,7459.3334,7898.3334,8343,7825,4732.6667,3724.3333,4934.6667,8067.6667,6210,7560.3334,8568,9165.6666,8897,10499.6666,9348.6666,10584.6666,5514.6667,7873.3333,7567.3333,9284.6666,8112.3333,9436.3333,10834.6666,13371,16045,5983.6666,931.3334,212.3333,6738.3334,6660,10299,9216.3334
264.66,1934.3334,6354.3333,11909.6667,6124.3333,8135.6667,7139,7385,7983.6666,8385.3333,7851,4742.6666,3710,4918,8103.3333,6232,7611.3333,8499.3333,9133.3333,8821,10491.3333,9262.3333,10700.6666,5487.6667,7906.6666,7621.6666,9205.6666,8008.6666,9360,10841.6666,13272.6666,16096.6666,5962,947.6666,241,6724,6641.6667,10341,9246.3333
267.01,1956,6348.6666,11924.6666,6083,8166.6666,7097.6666,7348,7931.6667,8390,7901,4753.3333,3669.3333,4948.3333,8094,6287.3333,7620.3333,8556,9119,8900,10441.3334,9355,10685.3334,5452.3333,7952.3334,7538.3334,9218,8013.3334,9389,10774.6667,13366.6667,16102.3334,5877.6667,936.3333,225,6796,6618.6666,10293.3333,9141
269.35,1886.6667,6362.6667,11953,6066,8146.6667,7125.6667,7343.3333,7889,8302.3334,7838.6667,4785.3334,3630,4913,7992.3334,6133.3334,7529.3334,8558,9122.6667,8779.6667,10430.6667,9307,10736,5407.6667,7889,7555.6667,9265.6667,8036,9343.3334,10885.6667,13361.3334,16078.6667,5919.6667,943.3334,195.6666,6663.3333,6549.6667,10240.3333,9115.3333
271.69,1893.6666,6350.6667,11895.6667,6099.6667,8140.6667,7086.3334,7351,7932.3333,8297.6667,7885,4719.3333,3675.3334,4869.3333,7996,6153.3333,7476.3333,8459,9101.6667,8714.6667,10426.3333,9252.6667,10675.3333,5352,7910.6667,7554.3333,9222.3333,7992.6667,9278.3333,10728.3333,13265,16037,5873,918,222,6677.6667,6640,10306,9187.6667
274.03,1889,6223,11833.3333,6115.6667,8056,6995.3333,7274,7854.3334,8370.6667,7802.6667,4711,3559.3333,4908.6667,7888.3334,6069.6667,7423.3334,8400,9020.6667,8748.6667,10346.6667,9185.3333,10645.6667,5338,7811.6667,7496.3333,9176.6667,7881,9269.6667,10651,13181.6667,16021.6667,5822,904,192.3333,6618,6496.3333,10139,8920.6667
276.37,1833,6203,11701.6667,6031.3333,8070.3333,7002,7193,7803.6667,8244.6667,7743,4652.3334,3567,4840.6667,7809,6047.6667,7360.3334,8419.6667,8972.3334,8705,10327.6667,9119,10583.6667,5189.3333,7783.6667,7465.6667,9115,7866,9150,10631.3334,13198.3334,15902.3334,5739,868.6667,241.3334,6524.6667,6498,10067,8899.3333
278.71,1846.6666,6255.6667,11624.6667,5962.3333,7969.6667,7002.3333,7200.3333,7846.6667,8297.6667,7736,4707.6667,3542.6667,4867.6667,7842,6012,7329,8366.3333,8844.3333,8639.6667,10262.3333,9071.6667,10569.3333,5254,7833,7426.6667,9054.3333,7788.6667,9137,10546.6667,13133,15928.6667,5661.3333,865.3333,260.3333,6564.3333,6431.6667,10134.6667,8890.6667
281.05,1883,6201.3333,11845.3333,6079,8019.6666,7036.6666,7221,7803.3333,8190.3333,7737.6666,4576,3493,4743,7793.6666,5953,7239.3333,8365.3333,8947.3333,8633.6666,10234,9154.3333,10516.6666,5158.3333,7795.3333,7372.3333,9063.6666,7742,9072,10462.6666,13098.6666,15936.3333,5653.6666,838,205.6667,6601.3333,6551,10218.6666,8922.3333
283.39,1803,6107,11703,5952,7946,6948.6667,7139.6667,7681.3333,8159.6666,7710.3333,4606,3479.3333,4785,7725.3333,5898.3333,7210.3333,8317,8931,8602.3333,10274.3333,9142.3333,10504,5121,7723.3333,7394,9033.3333,7742.3333,9067.6666,10459,13135,15973.3333,5635,884.3334,185,6504.3334,6393.6667,10090,8756.6667
285.73,1781.6667,6199,11719,5967,7898,6921,7107,7712.6667,8207,7662,4608,3409,4757.3333,7709.6667,5874.3333,7117.3333,8358.6667,8849.6667,8509.6667,10193.6667,9028,10458.6667,5064,7738.3333,7366.3333,8999.3333,7736.6667,9024.6667,10352,13093.3333,15831.6667,5584,830.3334,175.3333,6484,6405.3333,10077.3333,8792
288.06,1746.3333,6115,11588.3333,5926.6667,7848,6939.6667,7023,7690.3333,8194,7733,4652.6666,3423.6667,4703.6666,7670,5787,7085.3333,8202.6667,8765,8516.6667,10186.6667,9009.6667,10422.6667,5023,7664.6667,7273.3334,8935.3334,7616.3334,8927.3334,10358.6667,12949.3334,15758.3334,5517.3334,800.3334,241.6666,6366.6667,6354.3333,10044.6667,8756.6667
290.4,1768.3333,6106.3333,11591,5900.6666,7813,6894.6666,7079,7633.3333,8072,7668.6667,4531,3368.6666,4763.6667,7576,5754.6667,7062.3333,8182,8756,8503,10136.3334,8955,10441.6667,4949,7619,7283,8897.3334,7537.3334,8878,10269.3334,12968.6667,15721,5420.3334,830.3333,193.3333,6404.6666,6301.3333,9972,8639.3333
292.73,1734.6667,6001.6667,11557.3334,5821.6667,7724.3334,6836.6667,7004,7624.3333,8111.6667,7573,4541.6667,3316.6667,4700.3333,7629.6667,5756.3333,7013.6667,8229.6667,8699.6667,8500,10055,8971,10389,4976.3334,7597,7263.3334,8851.3334,7567.6667,8835.3334,10237.3334,12954,15698,5444.3334,818.6667,163.6666,6362.3334,6289,9927.6667,8648.6667
295.06,1765,5957,11572.6667,5865.6667,7721,6791.3334,6952,7569,8077,7535.3333,4520.3333,3344,4654.6667,7548,5691.3333,6998,8229.3334,8663.6667,8353.3334,10014.6667,8838.6667,10324.3334,4898,7590,7230.6667,8895.3334,7519.3334,8861.6667,10106,12863.6667,15644.6667,5344.3334,817.3333,246.3333,6267,6283,9959.6667,8534.3334
